|itemID
44220|1687
40692|1286
38123|1060
52087|709
36339|526
3083|488
47103|443
9783|440
63166|422
53761|417
53497|390
19843|379
17284|374
31293|347
18438|341
40250|339
23148|335
55796|293
58780|272
31200|250
56801|248
78885|244
52234|221
28844|214
77556|206
10402|200
34071|198
43347|197
54580|188
13107|185
55004|183
34748|174
57144|173
54417|172
46734|171
62594|166
63299|166
41798|166
31889|163
46617|159
18942|157
27035|157
56300|157
36856|156
49410|155
49994|155
38540|153
21051|151
38048|151
23541|149
73124|142
19949|142
51404|142
46389|142
18178|142
35973|138
78786|136
34801|136
34382|133
50429|132
29835|131
44985|130
78747|128
22715|127
42710|125
59717|124
19452|124
20641|122
9265|122
54550|121
34109|121
9028|121
65301|119
74608|118
29525|113
69779|112
23645|111
44991|110
9883|109
42188|108
41278|106
40044|100
72530|100
63186|99
42989|98
6175|94
61540|93
70179|93
15813|93
26112|92
48668|91
67700|91
24352|90
43403|90
14056|88
38808|87
16932|87
4778|87
31465|86
71641|85
60854|85
48240|84
31208|84
65521|83
50858|81
110|80
25936|79
15884|79
37268|78
77228|77
73958|77
6052|77
78532|77
58010|76
27170|76
27486|75
62201|73
38256|73
69440|72
48335|71
51013|69
57553|69
23466|68
6111|67
48222|67
65012|67
6082|64
60075|63
27488|62
71766|61
71455|61
71708|60
1040|60
19587|60
32327|59
64413|59
36347|59
63220|58
65136|58
2543|58
7541|57
16989|57
10677|57
54247|57
515|56
9018|56
74695|55
62504|55
65212|55
36228|54
71596|54
20894|54
63599|53
44737|53
24846|53
69946|53
3113|52
74150|52
24340|51
22143|51
62887|50
35396|50
67035|50
12922|50
48969|49
28966|49
51220|49
34314|48
20767|48
12357|47
2519|47
35712|47
73707|47
28572|47
55144|46
63485|45
51000|45
46587|45
64685|45
2412|45
23718|45
15781|44
63706|44
67006|44
2136|44
23011|44
7488|43
24547|42
26240|42
1776|42
47163|41
14313|41
42270|41
49628|40
39396|40
54482|40
64277|40
18315|39
34931|39
40951|39
2434|39
7617|39
58436|39
28519|38
67721|38
42241|38
71747|38
66285|38
57145|38
48786|37
25743|37
40241|36
56835|36
20689|36
59322|35
77481|35
5849|35
43710|35
60615|35
13676|35
15403|35
35468|35
30592|35
45107|34
61871|34
58912|34
34184|34
44642|34
38013|34
1798|34
36498|33
3166|33
49792|33
24426|33
62811|33
25821|33
54609|33
77966|32
70406|32
16505|32
25606|32
26527|32
70875|32
71523|32
56502|32
44353|32
42715|32
12843|32
22131|32
5070|31
65657|31
29242|31
36505|31
45981|31
19373|30
46904|30
74845|30
25115|30
62360|30
58587|30
14573|29
13425|29
23156|29
54943|29
31919|29
19227|29
40664|29
5385|29
5405|28
36484|28
21206|28
36987|28
27883|28
31436|28
69519|28
15570|28
41950|28
67304|28
70451|27
42675|27
21208|27
69653|27
18555|27
66908|27
70791|27
25513|26
40449|26
12911|26
2158|26
18724|26
59945|26
52602|26
44835|26
4192|26
33298|26
38650|25
48387|25
48440|25
45872|25
23951|25
33125|25
63257|25
63265|25
28023|25
59213|25
31578|25
27647|24
14530|24
3546|24
857|24
23624|24
17|24
28814|24
52858|24
33335|24
14157|24
4024|24
64585|24
26054|24
42429|24
4137|23
52813|23
42644|23
48579|23
60845|23
68036|23
11442|23
57390|23
39158|23
23117|23
28807|23
8956|23
18019|23
70436|23
26012|22
68775|22
52385|22
51443|22
4991|22
10198|22
4265|22
8803|22
58392|22
14031|22
6923|22
71578|22
60213|22
22065|22
67339|22
45069|22
27385|22
36813|22
62777|22
18700|22
53408|22
67801|21
12429|21
17742|21
56275|21
11895|21
42302|21
41318|21
62732|21
27848|21
43832|21
49616|21
35107|20
60411|20
41912|20
56974|20
33558|20
19177|20
66032|20
32204|20
30786|20
37470|20
19372|20
9752|20
36549|20
72779|20
46858|20
50495|19
47850|19
25534|19
69428|19
19118|19
13763|19
71619|19
7930|19
43748|19
33583|19
11197|19
16089|19
12177|19
74623|19
70944|19
23936|19
32508|19
26798|19
56905|18
60937|18
5022|18
50334|18
37298|18
69816|18
68261|18
37116|18
3713|18
15197|18
55582|18
75799|18
25760|18
71022|18
52630|18
36230|17
26078|17
5554|17
69967|17
5450|17
5669|17
36095|17
2792|17
11572|17
36448|17
42017|17
11318|17
3722|17
64376|17
35542|17
33023|17
17384|17
2467|17
7545|17
14588|17
77435|17
13369|17
35690|17
74306|17
1177|17
7140|16
16806|16
65356|16
20794|16
3967|16
11710|16
67887|16
12810|16
63219|16
75236|16
76622|16
18009|16
2361|16
50973|16
35563|16
72276|16
31129|16
58223|16
36239|16
70228|16
58239|16
15572|16
24819|15
2845|15
16845|15
66480|15
57469|15
62659|15
47643|15
60565|15
23342|15
41974|15
72225|15
21318|15
30833|15
158|15
47016|15
66559|15
53473|15
26159|15
3281|15
59613|15
40629|15
46294|15
2484|15
45238|15
70841|15
60226|15
46341|15
13183|15
16662|15
60873|15
46118|15
6719|14
25040|14
53621|14
78126|14
46086|14
68726|14
39101|14
39838|14
49457|14
15431|14
55816|14
7659|14
10215|14
48258|14
51484|14
2671|14
1685|14
2226|14
44734|14
35362|14
77596|14
58919|14
13738|14
73340|14
30799|14
50630|14
16903|14
10708|14
55804|14
7442|14
39646|14
62983|14
37450|14
26763|14
50561|14
2687|14
26238|14
56932|14
64177|13
12870|13
23377|13
9803|13
62764|13
46574|13
49921|13
64897|13
25165|13
3589|13
77856|13
4717|13
21017|13
70118|13
43123|13
33641|13
32512|13
24379|13
5702|13
36555|13
29901|13
57063|13
59158|13
71159|13
51482|13
70398|13
29921|13
74380|13
57022|13
27774|13
25198|13
44206|13
37114|13
57740|13
7621|13
76134|12
47338|12
55285|12
77200|12
33883|12
11894|12
38027|12
55341|12
74167|12
2967|12
35358|12
40783|12
35394|12
49571|12
15915|12
48885|12
37642|12
53200|12
64324|12
56282|12
73232|12
49684|12
36509|12
62034|12
14663|12
57109|12
21250|12
76665|12
22121|12
56911|12
11287|12
71705|12
62162|12
13073|12
16650|12
9663|12
68927|12
68034|12
37184|12
26567|12
51341|12
72920|12
60127|12
61804|11
35898|11
70526|11
252|11
21846|11
53277|11
30785|11
41311|11
42607|11
66636|11
37259|11
74333|11
68110|11
66773|11
61435|11
78719|11
59230|11
31811|11
46014|11
67929|11
70885|11
35369|11
70909|11
18686|11
30718|11
12944|11
48023|11
78430|11
45060|11
35810|11
7373|11
15824|11
71413|11
62064|11
43140|11
76018|10
22027|10
18397|10
55767|10
19581|10
70314|10
42174|10
25088|10
55129|10
51136|10
25085|10
74426|10
30116|10
32790|10
26522|10
76016|10
1286|10
38157|10
3526|10
51800|10
59854|10
21199|10
50960|10
76214|10
54494|10
22527|10
26297|10
55010|10
39549|10
31415|10
32611|10
16728|10
73906|10
33227|10
52266|10
45208|10
68880|10
77847|10
3544|10
54759|10
41630|10
17667|10
14923|10
37313|10
68172|10
59724|9
59005|9
16023|9
53237|9
12715|9
39408|9
57693|9
78162|9
26937|9
12388|9
49030|9
55083|9
46676|9
7841|9
75703|9
76731|9
53689|9
58641|9
60822|9
70035|9
72183|9
68986|9
48552|9
42703|9
50883|9
19036|9
32712|9
58058|9
67845|9
31768|9
27290|9
45875|9
9939|9
77515|9
3959|9
77425|9
12335|9
5387|9
27396|9
23293|9
13007|9
77199|9
29518|9
78687|9
27509|9
62941|9
25903|9
17643|9
49505|9
67375|8
50441|8
21864|8
72734|8
17866|8
40433|8
68263|8
5794|8
4270|8
56972|8
39200|8
31623|8
27070|8
50946|8
46674|8
27619|8
48691|8
2642|8
42066|8
58948|8
39442|8
70139|8
44199|8
53563|8
30257|8
37420|8
68063|8
59298|8
75517|8
16190|8
53877|8
6801|8
28790|8
10147|8
64289|8
18529|8
44370|8
54243|8
44496|8
13035|8
18409|8
75847|8
12636|8
43415|8
8283|8
632|8
53846|8
54090|8
63361|8
57512|8
8479|8
15059|8
25020|8
32325|8
43841|8
16212|8
30162|8
5495|8
50925|8
73558|8
58380|8
22336|8
11737|8
35450|8
34834|8
12941|8
11189|8
45039|8
37937|8
56480|8
59819|8
49736|8
50884|8
38407|8
14330|8
62653|8
67131|7
19099|7
13793|7
7711|7
48731|7
45603|7
23524|7
70114|7
4860|7
58821|7
70025|7
38519|7
26655|7
21882|7
36092|7
20452|7
27641|7
73807|7
38314|7
817|7
27723|7
70468|7
56184|7
41877|7
8133|7
56291|7
22892|7
35688|7
42981|7
25949|7
72292|7
35983|7
70116|7
66388|7
35478|7
53486|7
73954|7
18517|7
9027|7
22995|7
25785|7
70041|7
77089|7
3794|7
48741|7
75382|7
26549|7
2756|7
78891|7
28312|7
25747|7
61586|7
74361|7
1931|7
61323|7
73729|7
69573|7
24591|7
51311|7
23549|7
13384|7
16961|7
19885|7
22088|7
34954|7
42653|7
481|7
73261|7
21072|7
12980|7
45580|7
71245|7
30225|7
2505|7
69341|7
43694|7
52081|7
33176|7
11511|7
19810|7
3273|7
59891|7
2094|6
57811|6
40981|6
14455|6
49703|6
31504|6
45319|6
4610|6
77896|6
17431|6
64975|6
46457|6
15911|6
62654|6
70703|6
31746|6
15271|6
29950|6
25857|6
32439|6
17345|6
67386|6
42403|6
61046|6
56018|6
53086|6
24142|6
48388|6
27556|6
68612|6
73456|6
37882|6
66568|6
64075|6
27803|6
77362|6
6656|6
76014|6
76670|6
13626|6
63446|6
3927|6
1306|6
1768|6
30168|6
66531|6
32251|6
31347|6
33357|6
46527|6
3576|6
68904|6
44371|6
50752|6
72706|6
50688|6
58562|6
58852|6
77220|6
57482|6
73218|6
32841|6
28396|6
78303|6
59951|6
23727|6
38714|6
6000|6
78516|6
38469|6
72001|6
78945|6
60116|6
57506|6
46052|6
7326|6
65197|6
9475|6
42202|5
28613|5
67944|5
26852|5
76715|5
47258|5
43152|5
60885|5
2820|5
31530|5
31943|5
50141|5
14855|5
17645|5
59065|5
51094|5
68742|5
10501|5
68230|5
24205|5
39958|5
37944|5
27817|5
7175|5
46427|5
17960|5
67586|5
9481|5
71234|5
34642|5
63317|5
37182|5
64562|5
60895|5
47509|5
50101|5
71651|5
72558|5
38803|5
61105|5
26304|5
5934|5
76392|5
48054|5
4175|5
67021|5
30956|5
11566|5
62749|5
31691|5
4168|5
10447|5
45906|5
78316|5
740|5
70211|5
7305|5
9639|5
64671|5
58359|5
53329|5
71784|5
68386|5
70433|5
39128|5
26918|5
395|5
31140|5
2922|5
47057|5
46777|5
18133|5
47404|5
24273|5
6388|5
35372|5
8720|5
27871|5
38080|5
34854|5
75603|5
62464|5
55715|5
28635|5
12823|5
19677|5
7548|5
78525|5
63202|5
8372|5
37507|5
32277|5
10200|5
48864|5
22135|5
60803|5
8979|5
3711|5
11736|5
51016|5
12508|5
74299|5
44741|5
26300|5
47405|5
20731|5
53856|5
53829|5
41966|5
29055|5
11487|5
38432|5
6814|5
38476|5
78736|5
20434|5
55303|5
728|5
32560|5
48780|5
1009|5
59851|5
655|5
30229|5
77887|5
49961|5
36126|5
70330|5
70772|5
64045|5
66833|5
53238|5
24766|5
3870|5
39714|5
9137|5
17236|5
22101|5
981|5
60008|5
28834|4
28687|4
29932|4
4896|4
56716|4
4784|4
25748|4
28900|4
67302|4
3654|4
16922|4
71429|4
59502|4
62578|4
36454|4
74056|4
10493|4
49983|4
75684|4
5237|4
48048|4
6012|4
41830|4
62188|4
62588|4
63369|4
77111|4
66226|4
2046|4
23753|4
55304|4
63320|4
25874|4
10710|4
9550|4
44833|4
70964|4
77107|4
8209|4
65237|4
40037|4
98|4
26680|4
52175|4
12435|4
4311|4
22717|4
63080|4
38989|4
17277|4
78860|4
16014|4
5803|4
5955|4
5963|4
21056|4
44352|4
20820|4
35099|4
1334|4
16218|4
57072|4
75321|4
53880|4
62381|4
54596|4
45719|4
37498|4
31598|4
46397|4
30621|4
58658|4
36381|4
37413|4
23818|4
52964|4
34065|4
62518|4
44680|4
41568|4
72311|4
14352|4
21278|4
11473|4
50704|4
57630|4
22300|4
5636|4
77168|4
7707|4
53957|4
12149|4
8362|4
60257|4
32278|4
65713|4
5627|4
33629|4
59015|4
57376|4
381|4
635|4
22917|4
17093|4
29043|4
61582|4
53097|4
36863|4
60563|4
13091|4
18457|4
33034|4
56606|4
65860|4
54559|4
40828|4
75526|4
27491|4
47093|4
48776|4
62611|4
60934|4
54644|4
78022|4
59904|4
76282|4
61905|4
73883|4
69647|4
5089|4
14398|4
34177|4
16221|4
45485|4
73567|4
34664|4
64448|4
68839|4
69305|4
61061|4
12794|4
2510|4
52127|4
38254|4
63194|4
14776|4
48365|4
72985|4
11132|4
55702|4
68408|4
73155|4
68380|4
57664|4
57797|4
58772|3
51214|3
71636|3
70566|3
17484|3
53694|3
48842|3
21102|3
68677|3
52226|3
64580|3
73432|3
61754|3
12432|3
15762|3
5591|3
54329|3
16238|3
49636|3
40698|3
61666|3
71307|3
3700|3
53164|3
59403|3
78725|3
62760|3
77062|3
63587|3
29735|3
45280|3
45312|3
15214|3
61022|3
9528|3
22519|3
73662|3
196|3
65858|3
4597|3
63396|3
71330|3
16416|3
65126|3
16757|3
42275|3
23868|3
59097|3
32650|3
9862|3
36118|3
10339|3
57658|3
70843|3
45424|3
32082|3
65958|3
55906|3
7486|3
797|3
4762|3
829|3
22898|3
60475|3
22578|3
35881|3
41043|3
20335|3
21676|3
50846|3
21874|3
26453|3
24772|3
63034|3
28934|3
73625|3
57694|3
42952|3
48429|3
11896|3
58356|3
74732|3
57675|3
52177|3
10578|3
33223|3
32137|3
8723|3
10488|3
50178|3
10834|3
74182|3
17202|3
33813|3
64037|3
45662|3
72171|3
4853|3
49218|3
66487|3
69930|3
7156|3
40842|3
14607|3
9283|3
31110|3
56855|3
16234|3
34030|3
22911|3
1168|3
58476|3
9140|3
29598|3
16835|3
76116|3
2837|3
43259|3
41984|3
51833|3
26662|3
54747|3
25216|3
2943|3
35503|3
2544|3
70131|3
44917|3
72115|3
25612|3
51373|3
27008|3
6231|3
71055|3
40920|3
64818|3
64204|3
27422|3
7598|3
67115|3
3729|3
29981|3
52873|3
52874|3
62869|3
76100|3
40062|3
7888|3
67213|3
61168|3
24536|3
6449|3
72782|3
77874|3
23051|3
61903|3
26974|3
13736|3
57897|3
1857|3
28035|3
15432|3
14824|3
77450|3
64586|3
32318|3
76969|3
40371|3
46307|3
43477|3
10640|3
21088|3
63725|3
32847|3
42136|3
7631|3
62223|3
66700|3
62896|3
55508|3
75829|3
73963|3
67423|3
1647|3
38643|3
52533|3
26333|2
63439|2
73854|2
17614|2
61580|2
17802|2
32607|2
20377|2
67212|2
50462|2
66733|2
62643|2
47656|2
65231|2
64906|2
4472|2
16786|2
1904|2
43352|2
36424|2
40179|2
74269|2
49665|2
76200|2
68188|2
43480|2
71168|2
53980|2
18671|2
1602|2
52905|2
14744|2
22726|2
5467|2
55714|2
43640|2
53443|2
21127|2
39050|2
33007|2
67234|2
15655|2
38608|2
17390|2
11708|2
76152|2
70707|2
33693|2
58885|2
59033|2
13227|2
58761|2
9876|2
74212|2
49212|2
39031|2
61981|2
49340|2
3183|2
72653|2
9098|2
44425|2
17815|2
1243|2
61978|2
58066|2
64219|2
4652|2
66459|2
14884|2
57919|2
10815|2
19050|2
58463|2
42103|2
15492|2
63632|2
6252|2
65248|2
57141|2
48568|2
28306|2
55201|2
15812|2
26223|2
9855|2
50723|2
58706|2
2885|2
78717|2
7015|2
15235|2
28119|2
30706|2
60871|2
71439|2
18676|2
4797|2
41585|2
33802|2
42489|2
46523|2
31541|2
21327|2
869|2
15037|2
59975|2
50690|2
63012|2
4135|2
24407|2
68111|2
72615|2
16856|2
35361|2
539|2
37570|2
66527|2
4129|2
73063|2
29649|2
683|2
26512|2
34356|2
69729|2
50728|2
30326|2
6481|2
10798|2
75858|2
19649|2
31355|2
19069|2
42268|2
916|2
13767|2
50649|2
36165|2
40991|2
13799|2
20712|2
32409|2
32507|2
12452|2
25063|2
76177|2
24321|2
23555|2
3516|2
41987|2
56168|2
13688|2
77046|2
38383|2
37328|2
33511|2
3206|2
72840|2
15215|2
68054|2
64375|2
4560|2
66219|2
22334|2
27899|2
61837|2
25433|2
67651|2
54448|2
21535|2
1321|2
62839|2
22677|2
36280|2
17921|2
35771|2
58953|2
72585|2
22079|2
5655|2
59875|2
23966|2
52336|2
1258|2
18496|2
66110|2
18114|2
34394|2
15949|2
17014|2
13264|2
22818|2
69131|2
45503|2
37636|2
8946|2
33510|2
27131|2
28332|2
25018|2
52016|2
29753|2
53582|2
74791|2
35785|2
58830|2
30457|2
1144|2
11527|2
4686|2
69494|2
22346|2
71810|2
11202|2
37813|2
57531|2
53597|2
8252|2
29097|2
44706|2
23785|2
39732|2
57285|2
68102|2
69125|2
9110|2
37397|2
29110|2
43801|2
53858|2
39681|2
10941|2
31453|2
14304|2
47813|2
13028|2
72996|2
25979|2
75004|2
46458|2
29878|2
11689|2
26625|2
41127|2
48330|2
33901|2
5685|2
21853|2
22077|2
44883|2
77877|2
34023|2
53289|2
5333|2
29849|2
2335|1
61276|1
34290|1
60193|1
32398|1
72383|1
23670|1
74886|1
75397|1
55653|1
6173|1
8548|1
51770|1
77080|1
50887|1
47208|1
43179|1
40079|1
30864|1
4609|1
31698|1
75483|1
61697|1
75014|1
50468|1
29587|1
32083|1
7104|1
4349|1
16886|1
15140|1
73118|1
50820|1
58206|1
9147|1
77957|1
75846|1
23476|1
54117|1
27820|1
68863|1
56581|1
76615|1
73785|1
12263|1
31566|1
43511|1
19799|1
33362|1
78183|1
62915|1
29071|1
17878|1
64189|1
35344|1
7522|1
72065|1
483|1
66848|1
56999|1
3996|1
46486|1
52824|1
13828|1
53019|1
20277|1
12548|1
52187|1
10040|1
53593|1
69953|1
10340|1
15751|1
16683|1
71968|1
36591|1
34161|1
65763|1
55512|1
1980|1
5983|1
31072|1
60542|1
57936|1
72631|1
56143|1
39224|1
14828|1
16995|1
23200|1
33124|1
14675|1
15212|1
55567|1
55343|1
3338|1
22297|1
48900|1
3466|1
54729|1
46525|1
41991|1
60270|1
23384|1
74327|1
41159|1
57519|1
65644|1
22663|1
41055|1
16365|1
27993|1
4584|1
30886|1
73901|1
27044|1
45952|1
58549|1
18591|1
44928|1
77424|1
43167|1
25945|1
4488|1
43583|1
9904|1
48418|1
62420|1
66709|1
46140|1
19260|1
1450|1
55438|1
43104|1
7753|1
59368|1
44769|1
78058|1
3251|1
63971|1
17562|1
40574|1
65458|1
32706|1
42969|1
8202|1
11253|1
68305|1
65742|1
74420|1
51753|1
2161|1
62192|1
51241|1
18247|1
36670|1
34462|1
48728|1
61203|1
32160|1
66959|1
31904|1
54037|1
15112|1
71756|1
239|1
60976|1
5583|1
3857|1
11188|1
7217|1
6831|1
21190|1
47835|1
11049|1
2931|1
10807|1
60721|1
9429|1
50217|1
3088|1
63666|1
29923|1
71886|1
6382|1
67852|1
78123|1
33505|1
525|1
23078|1
35200|1
72018|1
2288|1
49257|1
25722|1
46974|1
71092|1
50928|1
55488|1
18578|1
49101|1
17932|1
63002|1
44881|1
55134|1
32501|1
38870|1
56897|1
36363|1
53503|1
74049|1
20911|1
49629|1
45587|1
37832|1
78819|1
44592|1
36500|1
20204|1
53052|1
59385|1
3480|1
21907|1
18738|1
315|1
17580|1
32716|1
61634|1
29933|1
40176|1
1979|1
77662|1
48844|1
61086|1
40552|1
36394|1
1955|1
65468|1
50595|1
3109|1
49276|1
30005|1
14691|1
16812|1
59865|1
33899|1
14883|1
21198|1
13117|1
37846|1
12829|1
64870|1
8386|1
11580|1
31687|1
68758|1
33799|1
65704|1
14575|1
60394|1
25339|1
16928|1
27173|1
10829|1
64087|1
23203|1
30968|1
48528|1
69877|1
1096|1
26746|1
71732|1
5386|1
34104|1
26180|1
18238|1
52881|1
26330|1
57011|1
23932|1
60874|1
76067|1
1304|1
50177|1
37332|1
10883|1
70276|1
51903|1
4836|1
17134|1
10492|1
34888|1
26356|1
56675|1
13470|1
14097|1
59418|1
44109|1
20525|1
74115|1
37802|1
43853|1
10786|1
78433|1
21042|1
30903|1
47416|1
55205|1
